ERROR NR.:      1925; MESS:Unknown member SEEKLAUSEND.; CODE:RETURN thisform.seeklausend.journalid; PROC:unload; LINE:         1; ALIAS:COMDOKPROP recno: 124; VERSIA:; KPV:29.08.2024 15:12:42;
ERROR NR.:       107; MESS:Operator/operand type mismatch.; CODE:Locate for id = this.value; PROC:interactivechange; LINE:         3; ALIAS:COMDOKPROP recno: 1; VERSIA:; KPV:29.08.2024 15:17:31;
ERROR NR.:        13; MESS:Alias 'V_DOKPROP' is not found.; CODE:replace v_dokprop.dok WITH  comDokProp.kood IN v_dokprop; PROC:valid; LINE:         2; ALIAS:COMDOKPROP recno: 1; VERSIA:; KPV:29.08.2024 15:17:31;
ERROR NR.:        13; MESS:Alias 'V_DOKPROP' is not found.; CODE:replace v_dokprop.dok WITH  comDokProp.kood IN v_dokprop; PROC:valid; LINE:         2; ALIAS:COMDOKPROP recno: 1; VERSIA:; KPV:29.08.2024 15:17:32;
ERROR NR.:      1925; MESS:Unknown member SEEKLAUSEND.; CODE:RETURN thisform.seeklausend.journalid; PROC:unload; LINE:         1; ALIAS: recno: 0; VERSIA:; KPV:29.08.2024 15:17:41;
ERROR NR.:        12; MESS:Variable 'KUU' is not found.; CODE:Locate For tmp_period.aasta = Year(l_kpv) And kuu = Month(l_kpv); PROC:is_period; LINE:        11; ALIAS:V_ARVREAD recno: 1; VERSIA:; KPV:29.08.2024 15:42:36;
ERROR NR.:      1925; MESS:Unknown member GRID1.; CODE:Thisform.grid1.AllowAddNew = !Thisform.suletud; PROC:is_period; LINE:         3; ALIAS:TMP_PERIOD recno: 1; VERSIA:; KPV:29.08.2024 15:42:37;
ERROR NR.:      1925; MESS:Unknown member PAGEFRAME1.; CODE:this.Visible = thisform.paGEFRAME1.ActivePage = 1; PROC:refresh; LINE:         1; ALIAS: recno: 0; VERSIA:; KPV:29.08.2024 15:42:43;
ERROR NR.:      1925; MESS:Unknown member PAGEFRAME1.; CODE:this.Visible = thisform.paGEFRAME1.ActivePage = 1; PROC:refresh; LINE:         1; ALIAS: recno: 0; VERSIA:; KPV:29.08.2024 15:42:43;
ERROR NR.:      1734; MESS:Property DOK is not found.; CODE:IF EMPTY(thisform.dok); PROC:requery; LINE:         5; ALIAS:COMDOKPROP recno: 1; VERSIA:; KPV:29.08.2024 15:42:45;
ERROR NR.:        13; MESS:Alias 'V_DOKPROP' is not found.; CODE:replace v_dokprop.dok WITH  comDokProp.kood IN v_dokprop; PROC:valid; LINE:         2; ALIAS:COMDOKPROP recno: 1; VERSIA:; KPV:29.08.2024 15:42:47;
ERROR NR.:      1925; MESS:Unknown member SEEKLAUSEND.; CODE:RETURN thisform.seeklausend.journalid; PROC:unload; LINE:         1; ALIAS: recno: 0; VERSIA:; KPV:29.08.2024 15:42:51;
ERROR NR.:      1925; MESS:Unknown member TEST.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       109; ALIAS:CURMENUREMOTE recno: 552; VERSIA:; KPV:29.08.2024 15:45:36;
ERROR NR.:      1925; MESS:Unknown member TEST.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       109; ALIAS:CURMENUREMOTE recno: 562; VERSIA:; KPV:29.08.2024 15:45:36;
ERROR NR.:      1925; MESS:Unknown member TEST.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       109; ALIAS:CURMENUREMOTE recno: 565; VERSIA:; KPV:29.08.2024 15:45:36;
ERROR NR.:      1925; MESS:Unknown member TEST.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       109; ALIAS:CURMENUREMOTE recno: 566; VERSIA:; KPV:29.08.2024 15:45:36;
ERROR NR.:      1925; MESS:Unknown member TEST.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       109; ALIAS:CURMENUREMOTE recno: 567; VERSIA:; KPV:29.08.2024 15:45:36;
ERROR NR.:      1925; MESS:Unknown member GRID1.; CODE:Thisform.grid1.AllowAddNew = !Thisform.suletud; PROC:is_period; LINE:         3; ALIAS:TMP_PERIOD recno: 1; VERSIA:; KPV:29.08.2024 15:47:23;
ERROR NR.:      1925; MESS:Unknown member PAGEFRAME1.; CODE:this.Visible = thisform.paGEFRAME1.ActivePage = 1; PROC:refresh; LINE:         1; ALIAS: recno: 0; VERSIA:; KPV:29.08.2024 15:47:29;
ERROR NR.:      1925; MESS:Unknown member PAGEFRAME1.; CODE:this.Visible = thisform.paGEFRAME1.ActivePage = 1; PROC:refresh; LINE:         1; ALIAS: recno: 0; VERSIA:; KPV:29.08.2024 15:47:29;
ERROR NR.:      1734; MESS:Property DOK is not found.; CODE:IF EMPTY(thisform.dok); PROC:requery; LINE:         5; ALIAS:COMDOKPROP recno: 1; VERSIA:; KPV:29.08.2024 15:47:31;
ERROR NR.:        13; MESS:Alias 'V_DOKPROP' is not found.; CODE:replace v_dokprop.dok WITH  comDokProp.kood IN v_dokprop; PROC:valid; LINE:         2; ALIAS:COMDOKPROP recno: 7; VERSIA:; KPV:29.08.2024 15:47:34;
ERROR NR.:      1925; MESS:Unknown member SEEKLAUSEND.; CODE:RETURN thisform.seeklausend.journalid; PROC:unload; LINE:         2; ALIAS: recno: 0; VERSIA:; KPV:29.08.2024 15:48:14;
ERROR NR.:      1925; MESS:Unknown member TEST.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       109; ALIAS:CURMENUREMOTE recno: 552; VERSIA:; KPV:29.08.2024 15:53:51;
ERROR NR.:      1925; MESS:Unknown member TEST.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       109; ALIAS:CURMENUREMOTE recno: 562; VERSIA:; KPV:29.08.2024 15:53:51;
ERROR NR.:      1925; MESS:Unknown member TEST.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       109; ALIAS:CURMENUREMOTE recno: 565; VERSIA:; KPV:29.08.2024 15:53:51;
ERROR NR.:      1925; MESS:Unknown member TEST.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       109; ALIAS:CURMENUREMOTE recno: 566; VERSIA:; KPV:29.08.2024 15:53:51;
ERROR NR.:      1925; MESS:Unknown member TEST.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       109; ALIAS:CURMENUREMOTE recno: 567; VERSIA:; KPV:29.08.2024 15:53:51;
ERROR NR.:      1925; MESS:Unknown member GRID1.; CODE:Thisform.grid1.AllowAddNew = !Thisform.suletud; PROC:is_period; LINE:         3; ALIAS:TMP_PERIOD recno: 1; VERSIA:; KPV:29.08.2024 15:55:31;
ERROR NR.:        12; MESS:Variable 'KUU' is not found.; CODE:Locate For tmp_period.aasta = Year(l_kpv) And kuu = Month(l_kpv); PROC:is_period; LINE:        11; ALIAS:V_ARVREAD recno: 1; VERSIA:; KPV:29.08.2024 15:55:50;
ERROR NR.:      1925; MESS:Unknown member GRID1.; CODE:Thisform.grid1.AllowAddNew = !Thisform.suletud; PROC:is_period; LINE:         3; ALIAS:TMP_PERIOD recno: 1; VERSIA:; KPV:29.08.2024 15:55:50;
ERROR NR.:      1925; MESS:Unknown member PAGEFRAME1.; CODE:this.Visible = thisform.paGEFRAME1.ActivePage = 1; PROC:refresh; LINE:         1; ALIAS: recno: 0; VERSIA:; KPV:29.08.2024 15:55:57;
ERROR NR.:      1925; MESS:Unknown member PAGEFRAME1.; CODE:this.Visible = thisform.paGEFRAME1.ActivePage = 1; PROC:refresh; LINE:         1; ALIAS: recno: 0; VERSIA:; KPV:29.08.2024 15:55:57;
ERROR NR.:       107; MESS:Operator/operand type mismatch.; CODE:Locate for id = this.value; PROC:interactivechange; LINE:         3; ALIAS:COMDOKPROP recno: 1; VERSIA:; KPV:29.08.2024 15:56:18;
ERROR NR.:        13; MESS:Alias 'V_DOKPROP' is not found.; CODE:replace v_dokprop.dok WITH  comDokProp.kood IN v_dokprop; PROC:valid; LINE:         2; ALIAS:COMDOKPROP recno: 1; VERSIA:; KPV:29.08.2024 15:56:18;
ERROR NR.:        13; MESS:Alias 'V_DOKPROP' is not found.; CODE:replace v_dokprop.dok WITH  comDokProp.kood IN v_dokprop; PROC:valid; LINE:         2; ALIAS:COMDOKPROP recno: 1; VERSIA:; KPV:29.08.2024 15:56:19;
ERROR NR.:      1925; MESS:Unknown member TEST.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       109; ALIAS:CURMENUREMOTE recno: 552; VERSIA:; KPV:29.08.2024 15:58:26;
ERROR NR.:      1925; MESS:Unknown member TEST.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       109; ALIAS:CURMENUREMOTE recno: 562; VERSIA:; KPV:29.08.2024 15:58:26;
ERROR NR.:      1925; MESS:Unknown member TEST.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       109; ALIAS:CURMENUREMOTE recno: 565; VERSIA:; KPV:29.08.2024 15:58:26;
ERROR NR.:      1925; MESS:Unknown member TEST.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       109; ALIAS:CURMENUREMOTE recno: 566; VERSIA:; KPV:29.08.2024 15:58:26;
ERROR NR.:      1925; MESS:Unknown member TEST.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       109; ALIAS:CURMENUREMOTE recno: 567; VERSIA:; KPV:29.08.2024 15:58:26;
ERROR NR.:      1925; MESS:Unknown member GRID1.; CODE:Thisform.grid1.AllowAddNew = !Thisform.suletud; PROC:is_period; LINE:         3; ALIAS:TMP_PERIOD recno: 1; VERSIA:; KPV:29.08.2024 16:00:12;
ERROR NR.:      1925; MESS:Unknown member PAGEFRAME1.; CODE:this.Visible = thisform.paGEFRAME1.ActivePage = 1; PROC:refresh; LINE:         1; ALIAS: recno: 0; VERSIA:; KPV:29.08.2024 16:00:19;
ERROR NR.:      1925; MESS:Unknown member PAGEFRAME1.; CODE:this.Visible = thisform.paGEFRAME1.ActivePage = 1; PROC:refresh; LINE:         1; ALIAS: recno: 0; VERSIA:; KPV:29.08.2024 16:00:19;
ERROR NR.:        13; MESS:Alias 'V_DOKPROP' is not found.; CODE:replace v_dokprop.dok WITH  comDokProp.kood IN v_dokprop; PROC:valid; LINE:         2; ALIAS:COMDOKPROP recno: 1; VERSIA:; KPV:29.08.2024 16:00:22;
ERROR NR.:      1925; MESS:Unknown member TEST.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       109; ALIAS:CURMENUREMOTE recno: 536; VERSIA:; KPV:30.08.2024 12:02:06;
ERROR NR.:      1925; MESS:Unknown member TEST.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       109; ALIAS:CURMENUREMOTE recno: 538; VERSIA:; KPV:30.08.2024 12:02:06;
ERROR NR.:      1925; MESS:Unknown member TEST.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       109; ALIAS:CURMENUREMOTE recno: 539; VERSIA:; KPV:30.08.2024 12:02:06;
ERROR NR.:      1925; MESS:Unknown member TEST.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       109; ALIAS:CURMENUREMOTE recno: 543; VERSIA:; KPV:30.08.2024 12:02:06;
ERROR NR.:      1925; MESS:Unknown member TEST.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       109; ALIAS:CURMENUREMOTE recno: 544; VERSIA:; KPV:30.08.2024 12:02:06;
ERROR NR.:      1925; MESS:Unknown member TEST.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       109; ALIAS:CURMENUREMOTE recno: 536; VERSIA:; KPV:30.08.2024 12:04:12;
ERROR NR.:      1925; MESS:Unknown member TEST.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       109; ALIAS:CURMENUREMOTE recno: 538; VERSIA:; KPV:30.08.2024 12:04:12;
ERROR NR.:      1925; MESS:Unknown member TEST.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       109; ALIAS:CURMENUREMOTE recno: 539; VERSIA:; KPV:30.08.2024 12:04:12;
ERROR NR.:      1925; MESS:Unknown member TEST.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       109; ALIAS:CURMENUREMOTE recno: 543; VERSIA:; KPV:30.08.2024 12:04:12;
ERROR NR.:      1925; MESS:Unknown member TEST.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       109; ALIAS:CURMENUREMOTE recno: 544; VERSIA:; KPV:30.08.2024 12:04:12;
ERROR NR.:      1925; MESS:Unknown member OPERATION.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       109; ALIAS:CURMENUREMOTE recno: 86; VERSIA:; KPV:30.08.2024 12:08:00;
ERROR NR.:      1925; MESS:Unknown member OPERATION.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       115; ALIAS:CURMENUREMOTE recno: 86; VERSIA:; KPV:30.08.2024 12:08:00;
ERROR NR.:      1925; MESS:Unknown member TEST.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       109; ALIAS:CURMENUREMOTE recno: 281; VERSIA:; KPV:30.08.2024 12:08:00;
ERROR NR.:      1925; MESS:Unknown member TEST.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       109; ALIAS:CURMENUREMOTE recno: 282; VERSIA:; KPV:30.08.2024 12:08:00;
ERROR NR.:      1925; MESS:Unknown member TEST.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       109; ALIAS:CURMENUREMOTE recno: 283; VERSIA:; KPV:30.08.2024 12:08:00;
ERROR NR.:      1925; MESS:Unknown member TEST.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       109; ALIAS:CURMENUREMOTE recno: 284; VERSIA:; KPV:30.08.2024 12:08:00;
ERROR NR.:      1925; MESS:Unknown member TEST.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       109; ALIAS:CURMENUREMOTE recno: 285; VERSIA:; KPV:30.08.2024 12:08:00;
ERROR NR.:      1925; MESS:Unknown member OPERATION.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       109; ALIAS:CURMENUREMOTE recno: 86; VERSIA:; KPV:30.08.2024 12:12:45;
ERROR NR.:      1925; MESS:Unknown member OPERATION.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       115; ALIAS:CURMENUREMOTE recno: 86; VERSIA:; KPV:30.08.2024 12:12:45;
ERROR NR.:      1925; MESS:Unknown member TEST.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       109; ALIAS:CURMENUREMOTE recno: 281; VERSIA:; KPV:30.08.2024 12:12:45;
ERROR NR.:      1925; MESS:Unknown member TEST.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       109; ALIAS:CURMENUREMOTE recno: 282; VERSIA:; KPV:30.08.2024 12:12:45;
ERROR NR.:      1925; MESS:Unknown member TEST.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       109; ALIAS:CURMENUREMOTE recno: 283; VERSIA:; KPV:30.08.2024 12:12:45;
ERROR NR.:      1925; MESS:Unknown member TEST.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       109; ALIAS:CURMENUREMOTE recno: 284; VERSIA:; KPV:30.08.2024 12:12:45;
ERROR NR.:      1925; MESS:Unknown member TEST.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       109; ALIAS:CURMENUREMOTE recno: 285; VERSIA:; KPV:30.08.2024 12:12:45;
ERROR NR.:      1925; MESS:Unknown member OPERATION.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       109; ALIAS:CURMENUREMOTE recno: 86; VERSIA:; KPV:30.08.2024 12:16:35;
ERROR NR.:      1925; MESS:Unknown member OPERATION.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       115; ALIAS:CURMENUREMOTE recno: 86; VERSIA:; KPV:30.08.2024 12:16:35;
ERROR NR.:      1925; MESS:Unknown member TEST.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       109; ALIAS:CURMENUREMOTE recno: 281; VERSIA:; KPV:30.08.2024 12:16:35;
ERROR NR.:      1925; MESS:Unknown member TEST.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       109; ALIAS:CURMENUREMOTE recno: 282; VERSIA:; KPV:30.08.2024 12:16:35;
ERROR NR.:      1925; MESS:Unknown member TEST.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       109; ALIAS:CURMENUREMOTE recno: 283; VERSIA:; KPV:30.08.2024 12:16:35;
ERROR NR.:      1925; MESS:Unknown member TEST.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       109; ALIAS:CURMENUREMOTE recno: 284; VERSIA:; KPV:30.08.2024 12:16:35;
ERROR NR.:      1925; MESS:Unknown member TEST.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       109; ALIAS:CURMENUREMOTE recno: 285; VERSIA:; KPV:30.08.2024 12:16:35;
ERROR NR.:      1925; MESS:Unknown member OPERATION.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       109; ALIAS:CURMENUREMOTE recno: 86; VERSIA:; KPV:30.08.2024 13:00:29;
ERROR NR.:      1925; MESS:Unknown member OPERATION.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       115; ALIAS:CURMENUREMOTE recno: 86; VERSIA:; KPV:30.08.2024 13:00:29;
ERROR NR.:      1925; MESS:Unknown member TEST.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       109; ALIAS:CURMENUREMOTE recno: 281; VERSIA:; KPV:30.08.2024 13:00:29;
ERROR NR.:      1925; MESS:Unknown member TEST.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       109; ALIAS:CURMENUREMOTE recno: 282; VERSIA:; KPV:30.08.2024 13:00:29;
ERROR NR.:      1925; MESS:Unknown member TEST.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       109; ALIAS:CURMENUREMOTE recno: 283; VERSIA:; KPV:30.08.2024 13:00:29;
ERROR NR.:      1925; MESS:Unknown member TEST.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       109; ALIAS:CURMENUREMOTE recno: 284; VERSIA:; KPV:30.08.2024 13:00:29;
ERROR NR.:      1925; MESS:Unknown member TEST.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       109; ALIAS:CURMENUREMOTE recno: 285; VERSIA:; KPV:30.08.2024 13:00:29;
ERROR NR.:      1925; MESS:Unknown member OPERATION.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       109; ALIAS:CURMENUREMOTE recno: 86; VERSIA:; KPV:30.08.2024 13:07:42;
ERROR NR.:      1925; MESS:Unknown member OPERATION.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       115; ALIAS:CURMENUREMOTE recno: 86; VERSIA:; KPV:30.08.2024 13:07:42;
ERROR NR.:      1925; MESS:Unknown member TEST.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       109; ALIAS:CURMENUREMOTE recno: 281; VERSIA:; KPV:30.08.2024 13:07:42;
ERROR NR.:      1925; MESS:Unknown member TEST.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       109; ALIAS:CURMENUREMOTE recno: 282; VERSIA:; KPV:30.08.2024 13:07:42;
ERROR NR.:      1925; MESS:Unknown member TEST.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       109; ALIAS:CURMENUREMOTE recno: 283; VERSIA:; KPV:30.08.2024 13:07:42;
ERROR NR.:      1925; MESS:Unknown member TEST.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       109; ALIAS:CURMENUREMOTE recno: 284; VERSIA:; KPV:30.08.2024 13:07:42;
ERROR NR.:      1925; MESS:Unknown member TEST.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       109; ALIAS:CURMENUREMOTE recno: 285; VERSIA:; KPV:30.08.2024 13:07:42;
ERROR NR.:      1925; MESS:Unknown member OPERATION.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       109; ALIAS:CURMENUREMOTE recno: 86; VERSIA:; KPV:30.08.2024 13:11:45;
ERROR NR.:      1925; MESS:Unknown member OPERATION.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       115; ALIAS:CURMENUREMOTE recno: 86; VERSIA:; KPV:30.08.2024 13:11:45;
ERROR NR.:      1925; MESS:Unknown member TEST.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       109; ALIAS:CURMENUREMOTE recno: 281; VERSIA:; KPV:30.08.2024 13:11:45;
ERROR NR.:      1925; MESS:Unknown member TEST.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       109; ALIAS:CURMENUREMOTE recno: 282; VERSIA:; KPV:30.08.2024 13:11:45;
ERROR NR.:      1925; MESS:Unknown member TEST.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       109; ALIAS:CURMENUREMOTE recno: 283; VERSIA:; KPV:30.08.2024 13:11:45;
ERROR NR.:      1925; MESS:Unknown member TEST.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       109; ALIAS:CURMENUREMOTE recno: 284; VERSIA:; KPV:30.08.2024 13:11:45;
ERROR NR.:      1925; MESS:Unknown member TEST.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       109; ALIAS:CURMENUREMOTE recno: 285; VERSIA:; KPV:30.08.2024 13:11:45;
ERROR NR.:        12; MESS:Variable 'TCNAME' is not found.; CODE:LOCATE FOR curPrinter.objekt = alltrim(upper(objekt)) = alltrim(upper(tcname)) AND id = 1; PROC:init; LINE:         7; ALIAS:CURPRINTER recno: 1; VERSIA:; KPV:30.08.2024 13:12:39;
ERROR NR.:        12; MESS:Variable 'ISNULL' is not found.; CODE:IF !isnull AND !EMPTY(.table1); PROC:add; LINE:         8; ALIAS:V_USERID recno: 1; VERSIA:; KPV:30.08.2024 13:12:52;
ERROR NR.:      1925; MESS:Unknown member OPERATION.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       109; ALIAS:CURMENUREMOTE recno: 86; VERSIA:; KPV:30.08.2024 13:16:06;
ERROR NR.:      1925; MESS:Unknown member OPERATION.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       115; ALIAS:CURMENUREMOTE recno: 86; VERSIA:; KPV:30.08.2024 13:16:06;
ERROR NR.:      1925; MESS:Unknown member TEST.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       109; ALIAS:CURMENUREMOTE recno: 281; VERSIA:; KPV:30.08.2024 13:16:06;
ERROR NR.:      1925; MESS:Unknown member TEST.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       109; ALIAS:CURMENUREMOTE recno: 282; VERSIA:; KPV:30.08.2024 13:16:06;
ERROR NR.:      1925; MESS:Unknown member TEST.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       109; ALIAS:CURMENUREMOTE recno: 283; VERSIA:; KPV:30.08.2024 13:16:06;
ERROR NR.:      1925; MESS:Unknown member TEST.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       109; ALIAS:CURMENUREMOTE recno: 284; VERSIA:; KPV:30.08.2024 13:16:06;
ERROR NR.:      1925; MESS:Unknown member TEST.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       109; ALIAS:CURMENUREMOTE recno: 285; VERSIA:; KPV:30.08.2024 13:16:06;
ERROR NR.:      1925; MESS:Unknown member OPERATION.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       109; ALIAS:CURMENUREMOTE recno: 86; VERSIA:; KPV:30.08.2024 13:21:49;
ERROR NR.:      1925; MESS:Unknown member OPERATION.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       115; ALIAS:CURMENUREMOTE recno: 86; VERSIA:; KPV:30.08.2024 13:21:49;
